Iterations,Train Accuracy,Test Accuracy
1,0.6119047234640463,0.5563895437350227
11,0.6520805408425459,0.6117093867646545
21,0.6473351732167564,0.6408595912906001
31,0.6520502771869449,0.6428025125643047
41,0.6452873210784358,0.6398094602340675
51,0.6588068062996902,0.6365575093753286
61,0.6553252675770315,0.6489572978259993
71,0.6480368458589874,0.6472681203567118
81,0.6516150236781143,0.6248089680607384
91,0.6556312056233448,0.6177122799107427
101,0.652104272064044,0.6423738736683314
111,0.6488379300721051,0.6464486407190868
121,0.6514635445726472,0.6327446644740077
131,0.6529901462801165,0.6485783743267749
141,0.6539249040184754,0.637213457876432
151,0.6548153061130295,0.6492128450738288
161,0.6537302067031102,0.6442510878566313
171,0.6477155795193185,0.638581544053447
181,0.6470745013849152,0.6444991625690265
191,0.6527442963789011,0.6331155421647383
201,0.6518727968345684,0.6421289109345514
211,0.6621473567828359,0.6479233751448198
221,0.6535469579548734,0.6407111467024272
231,0.6538292135353847,0.6332906497354834
241,0.6555374993975853,0.6389195626791203
251,0.6566949210171122,0.6270186853567569
261,0.6487585634272508,0.6342886792119008
271,0.6525857963205229,0.6305614150373458
281,0.6524023272098063,0.6214086783274825
291,0.6505985284413839,0.6468104817330274
