Iterations,Train Accuracy,Test Accuracy
1,0.8765561918812708,0.8001449275362319
11,0.994392523364486,0.958966575270923
21,0.9910697356001121,0.9786231884057969
31,0.9925233644859814,0.9721765243504373
41,0.9882933570634768,0.9706815511163336
51,0.9920043150393644,0.9772032902467684
61,0.983378568718232,0.9606815511163337
71,0.9817239412075887,0.944234887060974
81,0.9915887850467289,0.9714009661835747
91,0.9962616822429906,0.9715726596161378
101,0.9809630006119887,0.9542668755712234
111,0.9887233292188325,0.9217652435043739
121,0.9829140916863848,0.9602493798145971
131,0.9962616822429908,0.9755581668625146
141,0.9802703123217192,0.9769565217391303
151,0.994150632215503,0.9258982895939416
161,0.9913468938977461,0.9723266745005876
171,0.9901351561608596,0.9841787439613526
181,0.9876439904368617,0.965125995560778
191,0.9990654205607477,0.9598707403055229
201,0.9861911238231519,0.97647604125865
211,0.9838349912350763,0.9723266745005874
221,0.993449127138071,0.9655581668625146
231,0.988749779580321,0.9517495756626191
241,0.9950852116547555,0.9493634939287112
251,0.9915535178980779,0.9656547852200026
261,0.9847832505648896,0.965125995560778
271,0.9962440486686651,0.9847826086956522
281,0.9873803648823145,0.9628770074422249
291,0.9934579439252336,0.9569428123775949
