Iterations,Train Accuracy,Test Accuracy
1,0.8961538461538462,0.8727272727272727
11,0.9431749622926094,0.840909090909091
21,0.9197209653092007,0.8727272727272727
31,0.9275641025641027,0.8727272727272727
41,0.9334087481146305,0.8363636363636363
51,0.9236048265460031,0.8590909090909091
61,0.9294871794871795,0.9
71,0.9216817496229261,0.809090909090909
81,0.9373303167420814,0.8590909090909091
91,0.941214177978884,0.8590909090909091
101,0.9334087481146305,0.8636363636363636
111,0.954977375565611,0.8727272727272728
121,0.9353318250377074,0.8818181818181818
131,0.9490573152337858,0.8454545454545455
141,0.9098793363499246,0.8863636363636364
151,0.9411764705882353,0.9045454545454545
161,0.9372926093514329,0.8772727272727273
171,0.9412895927601811,0.8409090909090908
181,0.9255656108597285,0.859090909090909
191,0.921606334841629,0.85
201,0.941214177978884,0.8636363636363636
211,0.9274886877828055,0.8727272727272728
221,0.9373303167420814,0.8681818181818182
231,0.9393288084464556,0.8681818181818182
241,0.9333710407239819,0.8636363636363636
251,0.9431372549019608,0.859090909090909
261,0.929449472096531,0.8409090909090908
271,0.9667043740573152,0.859090909090909
281,0.9471342383107089,0.8318181818181818
291,0.935369532428356,0.840909090909091
