Iterations,Train Accuracy,Test Accuracy
1,0.4451382828991937,0.3401016972445544
11,0.505711262623705,0.48515769944341375
21,0.5047028360934569,0.4672209624590577
31,0.5067081899556826,0.49096406239263385
41,0.49636696546428183,0.45980668361620747
51,0.5089588583760446,0.4824984539270254
61,0.51166154608822,0.4838360933599029
71,0.49523443735967454,0.49292242149385007
81,0.496122059621653,0.44008108293822584
91,0.48694072711421593,0.46806843949701094
101,0.4995303783593293,0.4453216977026502
111,0.4916712655937378,0.41541950113378684
121,0.49829631579428274,0.43558258320163085
131,0.5080938659144135,0.46045259854783666
141,0.4970171114790253,0.4801484230055659
151,0.5105330048404053,0.4966192537621109
161,0.5042093434611733,0.48904693190407483
171,0.5020615133789436,0.4789184360612933
181,0.5154673795226791,0.4728463776082824
191,0.48854999553020695,0.4536911060720584
201,0.4884833021862027,0.4763393572917382
211,0.5033842772389805,0.47909022194736484
221,0.4777749659153833,0.48292677340296386
231,0.4912402236880415,0.46728051489956257
241,0.47254241195688745,0.4641219450743261
251,0.49969332796657273,0.4752238942715134
261,0.4978130059452911,0.4916328821090726
271,0.4769663285521242,0.47113539018300926
281,0.4965693022076866,0.44023912595341175
291,0.4944078440961065,0.4644723882819121
