Iterations,Train Accuracy,Test Accuracy
1,0.559847591952855,0.57375
11,0.7124710424710423,0.6434313725490197
21,0.73950213371266,0.617328431372549
31,0.6839483844747002,0.5586274509803922
41,0.6932188579556999,0.523529411764706
51,0.7268075594391383,0.6085294117647059
61,0.6774903474903473,0.5724264705882353
71,0.7027087990245884,0.612843137254902
81,0.6582706766917292,0.5764460784313726
91,0.7096972160130053,0.651593137254902
101,0.6819325340377971,0.6283088235294118
111,0.6955192034139401,0.6445588235294119
121,0.6852651900020319,0.6431617647058824
131,0.6786527128632391,0.5943137254901962
141,0.6695082300345458,0.6448774509803922
151,0.6884190205242835,0.6186274509803922
161,0.6706563706563705,0.5941421568627451
171,0.6915891079048974,0.6149264705882354
181,0.6990164600690916,0.594779411764706
191,0.6743913838650679,0.5486274509803921
201,0.6830400325137166,0.557843137254902
211,0.7305120910384066,0.6657598039215686
221,0.7238792928266611,0.6482598039215686
231,0.6955659418817313,0.6197303921568628
241,0.6941007925218451,0.6111274509803922
251,0.7184616947774841,0.6635784313725491
261,0.6797175370859581,0.5747794117647059
271,0.7264397480186953,0.6061764705882353
281,0.6781345255029465,0.6127941176470588
291,0.7097480186953871,0.6629901960784313
