Iterations,Train Accuracy,Test Accuracy
1,0.8492241771721337,0.8653221631887078
11,0.8884256727314371,0.8981659700183704
21,0.8868736713857116,0.8883433716721011
31,0.8857638418475482,0.8885327807690732
41,0.8801396078262568,0.8882051883459655
51,0.8795297665929155,0.8875233103142248
61,0.8818377015930584,0.8863620510910634
71,0.8723057612628956,0.8825698622683397
81,0.875051661843126,0.8825605304828201
91,0.8728764509909351,0.8855467863713142
101,0.8710368387805227,0.8866941786615635
111,0.8742652971508055,0.881614277394126
121,0.8722135987873793,0.8832042467151878
131,0.8753493052993626,0.8842022485561882
141,0.878041833464688,0.8841953150897324
151,0.876569461196424,0.8831927781013397
161,0.8784975629708105,0.8834528795016358
171,0.8773146572793323,0.8824924979892949
181,0.8793170595602181,0.8826306813154304
191,0.8793738275422507,0.8855697235990105
201,0.87573677847715,0.8842022485561881
211,0.8781006746176813,0.8847920792079208
221,0.8767536386981527,0.8809540159298043
231,0.8767123159789083,0.884066463549116
241,0.8795082775071915,0.882745665923135
251,0.8793220968440592,0.8858650470089026
261,0.8782484966744492,0.8849025286682332
271,0.8760348253542086,0.8871436891588319
281,0.8789467994383394,0.8847315216515649
291,0.8773138504376883,0.885169563534985
