Iterations,Train Accuracy,Test Accuracy
1,0.5122294299578117,0.4617123617123617
11,0.5302424125275847,0.5154973774021393
21,0.5458686971292013,0.5225176939462653
31,0.554130755743659,0.5275269703841132
41,0.5549471411493639,0.5190980095742
51,0.5528106999372925,0.5223848461943701
61,0.5623561001712262,0.5233124899791567
71,0.5609373508533172,0.5295952724524152
81,0.5673823530966388,0.5274307702879132
91,0.5646884113948359,0.5268787649740031
101,0.5649774158855211,0.5140841521793903
111,0.5574570029029232,0.5151148674958199
121,0.5568385737130654,0.5268993792803317
131,0.5538659005723251,0.5180329370805561
141,0.5466933345762298,0.5221878650450079
151,0.5497410182961823,0.5154332440046725
161,0.5531080868570702,0.5081037128656176
171,0.5486920110801922,0.5102682150301199
181,0.552044867374225,0.5004420623468243
191,0.5481860588935676,0.511825740397169
201,0.5498594555249474,0.5064866350580637
211,0.5528688052407217,0.5004168670835337
221,0.555555026482107,0.5071394214251357
231,0.5508985532704698,0.5010467486657963
241,0.5440189685920236,0.5028104170961314
251,0.5421598721951121,0.5043221328935614
261,0.537959979339757,0.5062117776403491
271,0.5372303945765589,0.5041503470074898
281,0.53691703515504,0.49933805171900403
291,0.5401851118169905,0.497471311757026
