Iterations,Train Accuracy,Test Accuracy
1,0.6926864458443405,0.6181127450980393
11,0.7206279211542369,0.6776225490196077
21,0.761371672424304,0.7026225490196077
31,0.7546088193456615,0.6655882352941177
41,0.7530380004064214,0.650171568627451
51,0.7561207071733388,0.6593382352941177
61,0.75739483844747,0.6656372549019606
71,0.7598719772403982,0.6752205882352941
81,0.7613005486689697,0.6623039215686275
91,0.7639321276163381,0.6652205882352942
101,0.7639321276163381,0.6556372549019608
111,0.7588945336313758,0.6589705882352941
121,0.7629546840073156,0.6560539215686274
131,0.7629546840073156,0.6564215686274509
141,0.7615261125787441,0.6660049019607842
151,0.7615261125787441,0.6597549019607843
161,0.7615261125787441,0.6597549019607843
171,0.7602519813046128,0.6593382352941177
181,0.7588234098760414,0.656421568627451
191,0.7559662670188986,0.6660049019607843
201,0.7588234098760414,0.656421568627451
211,0.7563462710831131,0.6567892156862745
221,0.7546921357447672,0.656421568627451
231,0.7521316805527332,0.656421568627451
241,0.7508575492786018,0.656421568627451
251,0.7425238772607192,0.662671568627451
261,0.7398922983133509,0.662671568627451
271,0.7344868929079456,0.668921568627451
281,0.7289270473481,0.668921568627451
291,0.7274984759195285,0.668921568627451
